Review_ID,Book_ID,Customer_ID,Rating,Review_Date
108,464,465,5,2023-04-05
109,325,217,5,2023-02-15
110,2,171,5,2024-10-14
111,135,83,5,2024-07-18
112,362,219,4,2023-04-25
113,39,484,5,2023-06-02
114,280,19,5,2024-08-19
115,283,76,4,2023-02-12
116,158,187,5,2023-02-10
117,461,184,3,2023-09-13
118,342,53,4,2024-07-27
119,453,448,4,2024-09-27
120,384,80,5,2023-08-31
121,443,84,5,2023-07-01
122,452,212,1,2023-12-07
123,401,477,4,2024-11-16
124,443,377,5,2023-10-01
125,82,404,5,2024-01-27
126,447,20,5,2023-08-16
127,103,419,5,2023-12-25
128,157,421,5,2023-08-22
129,115,13,4,2024-02-13
130,169,143,5,2023-10-13
131,180,329,4,2024-11-26
132,432,275,4,2023-01-29
133,60,450,5,2023-07-02
134,298,493,5,2023-02-09
135,56,306,4,2023-11-18
136,224,311,5,2023-04-29
137,198,461,4,2023-09-18
138,23,363,4,2024-06-16
139,474,413,4,2024-11-17
140,101,187,4,2024-11-11
141,472,170,4,2024-11-10
142,435,64,5,2023-11-04
143,260,159,4,2023-12-01
144,207,357,3,2023-05-11
145,99,216,4,2024-01-24
146,347,384,5,2024-09-22
147,292,155,4,2023-01-01
148,156,147,3,2024-08-16
149,311,336,3,2024-03-28
150,227,346,3,2024-04-29
151,407,462,5,2023-06-23
152,338,44,3,2024-11-10
153,325,318,4,2023-08-29
154,345,159,3,2023-07-23
155,76,13,1,2024-05-01
156,313,436,5,2024-04-11
157,213,454,4,2023-07-19
158,368,357,4,2024-02-14
159,125,76,4,2023-01-06
160,458,385,5,2023-04-20
161,399,218,3,2024-12-13
162,266,238,2,2023-09-13
163,470,435,2,2023-05-17
164,411,238,4,2024-07-26
165,305,163,5,2024-03-29
166,314,418,5,2024-05-31
167,219,426,5,2024-04-01
168,460,82,5,2024-05-01
169,231,133,5,2024-10-14
170,142,393,5,2024-05-11
171,321,123,3,2023-03-21
172,366,147,3,2023-12-10
173,164,458,4,2023-05-22
174,78,119,4,2023-06-06
175,362,110,2,2024-02-22
176,170,278,4,2023-03-05
177,106,427,4,2024-08-21
178,485,357,1,2024-08-12
179,195,245,1,2023-12-27
180,153,386,4,2024-03-05
181,276,383,5,2024-09-09
182,460,113,4,2023-10-07
183,224,249,1,2023-12-11
184,343,348,5,2023-06-19
185,431,240,5,2024-09-29
186,274,14,5,2024-08-29
187,289,340,1,2024-10-20
188,220,70,5,2023-07-06
189,26,134,4,2023-08-05
190,233,168,4,2024-01-24
191,143,386,5,2024-03-07
192,130,428,2,2023-01-20
193,384,277,2,2023-12-25
194,115,333,2,2024-10-29
195,21,387,1,2023-09-11
196,103,430,1,2023-06-06
197,123,65,4,2023-04-28
198,289,486,3,2024-12-17
199,132,393,4,2024-09-12
200,311,494,5,2023-04-28
201,399,420,3,2023-11-15
202,56,297,1,2023-11-16
203,295,347,5,2024-01-20
204,204,483,5,2023-03-19
205,304,354,5,2023-09-06
206,53,357,5,2024-12-01
207,308,413,2,2024-08-02
208,401,22,4,2024-03-14
209,339,190,2,2024-10-25
210,175,7,5,2024-05-16
211,55,222,5,2024-10-12
212,457,425,4,2023-06-06
213,223,91,5,2024-10-28
214,139,316,5,2024-07-05
215,397,248,4,2024-08-29
216,138,166,5,2023-03-30
217,143,452,4,2024-04-20
218,292,313,4,2023-12-11
219,15,254,5,2023-07-06
220,250,109,4,2023-09-22
221,175,144,5,2024-12-19
222,451,142,4,2024-06-13
223,486,98,2,2024-02-21
224,251,285,5,2024-12-08
225,244,331,5,2024-04-03
226,406,9,2,2023-08-15
227,208,355,3,2024-11-10
228,298,189,4,2024-06-27
229,177,218,5,2024-07-17
230,170,181,5,2023-10-05
231,157,129,3,2023-07-17
232,162,62,5,2024-12-07
233,95,99,3,2024-05-10
234,142,371,4,2024-06-21
235,306,145,5,2023-07-18
236,152,117,4,2023-11-06
237,8,363,4,2023-10-08
238,24,499,2,2023-10-27
239,358,484,2,2024-05-17
240,53,447,1,2023-10-19
241,241,246,4,2023-07-08
242,495,27,3,2024-05-04
243,59,421,2,2024-05-18
244,38,296,4,2023-02-24
245,78,77,5,2023-11-08
246,44,128,2,2024-03-02
247,311,306,5,2023-08-20
248,398,268,4,2024-03-29
249,153,441,4,2024-03-15
250,157,292,4,2024-09-16
251,492,379,2,2023-08-01
252,321,109,3,2023-03-25
253,81,123,3,2023-03-18
254,81,2,4,2024-12-06
255,305,241,3,2023-08-26
256,148,362,3,2024-04-09
257,37,352,3,2023-09-28
258,404,406,4,2024-11-08
259,412,479,3,2023-04-28
260,279,116,4,2023-09-30
261,424,73,2,2023-06-19
262,406,158,4,2024-08-05
263,472,148,4,2024-04-24
264,353,156,5,2023-10-06
265,257,277,4,2023-03-24
266,307,21,5,2023-11-27
267,310,129,1,2023-08-23
268,493,346,5,2024-08-12
269,301,487,1,2024-11-19
270,421,138,4,2023-06-29
271,241,266,4,2023-10-12
272,93,300,4,2024-05-18
273,497,47,4,2024-02-23
274,171,165,4,2023-06-14
275,169,211,5,2023-10-23
276,340,484,4,2024-07-17
277,19,233,2,2023-09-16
278,166,60,5,2024-02-18
279,443,264,5,2023-01-02
280,337,446,4,2024-02-28
281,28,97,4,2024-09-29
282,388,256,4,2023-02-22
283,105,137,4,2023-10-22
284,225,451,5,2023-05-05
285,15,499,4,2023-09-03
286,364,82,3,2023-01-15
287,283,209,2,2023-04-27
288,237,485,2,2023-06-07
289,256,478,5,2024-06-05
290,362,140,4,2024-05-09
291,242,125,4,2023-05-29
292,197,98,5,2024-06-04
293,383,451,3,2023-03-13
294,142,396,5,2024-02-29
295,175,479,5,2023-10-01
296,421,2,3,2023-11-02
297,429,301,4,2024-11-06
298,251,444,3,2024-07-05
299,248,177,4,2024-07-10
300,194,234,5,2023-07-13
301,358,123,4,2023-08-28
302,439,398,4,2023-11-22
303,382,243,5,2024-01-26
304,198,340,5,2024-10-29
305,78,254,5,2023-05-10
306,258,495,4,2023-04-13
307,448,433,4,2024-06-22
308,467,234,1,2023-05-28
309,210,446,4,2023-06-08
310,39,241,5,2023-09-29
311,174,320,5,2024-10-27
312,42,437,3,2024-11-21
313,440,274,4,2023-11-21
314,321,368,5,2024-05-14
315,447,278,1,2023-03-12
316,121,324,5,2023-10-22
317,117,383,2,2023-04-11
318,390,325,5,2023-04-13
319,228,86,5,2023-01-30
320,24,167,5,2023-10-28
321,184,192,4,2023-09-08
322,272,211,4,2023-07-04
323,88,90,2,2024-01-27
324,318,350,3,2024-08-20
325,74,119,4,2023-09-18
326,236,131,4,2024-04-21
327,462,148,4,2023-06-11
328,38,227,5,2024-08-24
329,154,328,5,2024-12-07
330,129,234,5,2023-07-23
331,197,437,4,2023-08-31
332,196,293,4,2023-10-30
333,359,152,1,2024-11-05
334,203,141,1,2024-12-03
335,399,382,5,2024-09-12
336,382,255,5,2023-10-21
337,398,410,3,2023-12-27
338,113,326,3,2023-09-14
339,348,387,5,2024-11-06
340,349,430,3,2023-04-10
341,463,322,4,2023-11-13
342,404,226,1,2024-01-09
343,375,68,2,2023-10-30
344,168,383,4,2023-07-25
345,68,403,4,2024-01-10
346,272,257,5,2023-06-18
347,132,468,5,2024-05-08
348,496,413,3,2023-12-13
349,412,59,4,2023-03-19
350,73,387,5,2024-11-23
351,371,346,5,2024-07-24
352,188,47,5,2023-01-15
353,136,275,2,2024-01-13
354,345,384,4,2024-08-21
355,196,422,4,2024-01-16
356,56,346,3,2023-01-26
357,318,453,5,2023-12-02
358,469,313,3,2023-03-06
359,326,422,4,2024-12-18
360,155,333,4,2023-05-24
361,24,485,1,2024-05-19
362,60,50,3,2024-07-04
363,70,199,4,2024-11-17
364,487,381,5,2024-07-07
365,215,301,5,2023-06-08
366,454,213,4,2024-05-16
367,316,209,5,2023-10-14
368,17,354,4,2024-03-30
369,228,487,3,2024-01-07
370,51,352,4,2024-10-22
371,184,32,4,2023-07-14
372,496,63,5,2024-04-10
373,47,340,3,2024-10-16
374,306,498,1,2023-12-08
375,125,65,5,2023-07-30
376,36,425,5,2023-08-01
377,301,111,5,2023-08-27
378,169,397,3,2024-09-02
379,2,142,5,2023-05-29
380,67,277,3,2023-06-28
381,57,339,5,2023-05-15
382,8,184,5,2023-09-01
383,302,166,1,2023-09-29
384,27,65,5,2024-06-22
385,59,382,2,2024-04-04
386,399,186,4,2023-04-22
387,232,258,3,2024-09-21
388,23,373,5,2024-11-05
389,267,155,4,2023-02-01
390,32,246,5,2024-03-12
391,352,56,4,2024-03-30
392,38,461,2,2024-09-14
393,76,34,2,2024-10-01
394,325,300,4,2023-11-29
395,196,306,4,2024-04-09
396,259,310,4,2024-12-19
397,59,437,4,2024-07-18
398,370,444,3,2024-04-07
399,455,117,4,2024-04-09
400,205,213,5,2023-11-17
401,219,161,4,2024-01-19
402,489,79,5,2024-04-30
403,35,47,5,2023-04-06
404,222,50,5,2024-01-17
405,416,67,4,2024-08-23
406,490,288,4,2024-11-17
407,63,211,4,2024-11-12
408,482,385,4,2023-02-22
409,496,148,4,2023-12-27
410,54,296,4,2023-06-08
411,337,247,3,2023-04-21
412,180,433,4,2023-04-28
413,391,143,4,2024-03-15
414,433,288,5,2024-09-28
415,315,346,4,2023-01-27
416,312,476,4,2024-12-11
417,137,15,3,2024-12-20
418,391,159,5,2023-12-26
419,4,93,5,2024-08-02
420,337,206,2,2024-10-10
421,498,16,2,2024-06-27
422,111,193,4,2023-12-16
423,81,190,3,2023-11-29
424,398,483,4,2023-03-28
425,453,27,3,2024-09-24
426,26,346,2,2024-03-29
427,339,218,4,2024-03-28
428,213,140,3,2024-06-08
429,59,177,4,2023-10-18
430,348,348,4,2024-06-23
431,342,158,1,2024-02-09
432,307,29,1,2023-11-05
433,485,109,5,2023-09-19
434,149,168,2,2024-05-24
435,383,221,3,2024-01-25
436,273,361,3,2024-07-26
437,427,343,5,2023-03-15
438,204,442,5,2024-03-22
439,10,236,5,2023-11-17
440,295,220,4,2024-12-27
441,328,214,3,2024-02-19
442,11,495,3,2024-09-24
443,236,426,5,2024-01-06
444,46,224,5,2023-09-07
445,224,302,4,2023-03-22
446,203,446,3,2023-12-14
447,114,171,5,2023-03-20
448,262,325,2,2024-06-06
449,100,464,5,2023-12-26
450,373,491,5,2023-06-01
451,121,53,3,2023-07-22
452,89,309,3,2024-11-02
453,39,91,5,2024-10-05
454,253,238,5,2024-08-16
455,230,349,5,2024-08-01
456,330,326,5,2023-11-27
457,443,498,4,2023-06-04
458,226,35,4,2024-10-08
459,156,408,3,2023-02-27
460,181,260,2,2024-04-17
461,232,20,2,2023-10-21
462,40,331,5,2023-04-03
463,315,305,4,2024-04-18
464,298,284,5,2023-02-12
465,231,466,5,2024-10-29
466,97,165,4,2024-05-28
467,78,491,2,2023-04-16
468,416,461,5,2023-03-28
469,259,331,3,2023-09-11
470,363,225,5,2024-06-20
471,268,313,3,2024-01-17
472,470,145,4,2023-12-13
473,348,307,2,2024-10-08
474,332,172,2,2023-04-07
475,286,348,4,2023-09-16
476,371,437,4,2024-09-09
477,448,77,4,2024-08-19
478,340,73,5,2023-11-14
479,496,336,5,2024-02-06
480,67,305,5,2023-03-28
481,159,287,4,2023-12-03
482,417,66,4,2024-12-02
483,468,270,2,2024-11-17
484,217,261,4,2024-01-07
485,159,93,5,2023-12-16
486,486,393,4,2023-08-20
487,71,80,2,2023-04-14
488,260,395,4,2024-06-23
489,20,339,4,2024-09-24
490,68,306,4,2023-06-16
491,93,426,5,2024-10-01
492,415,463,3,2024-03-24
493,23,211,4,2023-09-01
494,497,228,4,2024-04-04
495,120,274,3,2024-04-25
496,463,428,3,2024-11-25
497,485,293,5,2024-04-17
498,394,145,5,2024-05-29
499,271,215,5,2023-07-24
500,411,310,3,2023-09-14
501,27,329,4,2024-01-16
502,284,479,2,2024-06-12
503,436,64,3,2023-06-14
504,140,231,5,2023-05-31
505,426,224,2,2023-08-16
506,419,231,5,2023-01-28
507,213,28,4,2024-01-18
508,121,198,5,2024-01-19
509,115,15,3,2023-04-12
510,430,366,4,2023-05-30
511,71,20,3,2024-04-28
512,357,426,3,2024-12-23
513,241,230,4,2023-03-23
514,10,132,3,2023-06-03
515,281,482,5,2024-06-24
516,217,57,5,2023-09-01
517,155,63,1,2024-03-05
518,328,407,4,2023-03-06
519,57,429,5,2024-09-03
520,275,9,4,2024-08-11
521,124,368,3,2024-03-15
522,1,315,4,2024-08-07
523,214,96,4,2023-03-29
524,269,500,4,2024-06-22
525,279,260,5,2024-06-03
526,284,11,4,2024-04-26
527,23,326,4,2024-01-18
528,130,383,1,2023-03-11
529,177,124,5,2024-10-05
530,54,396,4,2023-12-07
531,69,23,4,2023-12-13
532,417,330,3,2024-12-02
533,238,357,4,2023-07-06
534,416,70,2,2024-04-13
535,19,151,3,2023-07-24
536,454,22,3,2023-11-14
537,264,204,5,2024-07-10
538,243,130,1,2024-10-24
539,98,147,4,2023-02-18
540,444,336,4,2023-05-08
541,410,189,4,2024-02-14
542,381,226,5,2024-01-31
543,174,499,3,2024-12-09
544,255,189,5,2024-06-15
545,137,411,2,2024-03-10
546,41,221,4,2023-07-04
547,280,151,3,2023-03-23
548,168,339,3,2024-04-01
549,309,368,4,2024-12-07
550,228,180,4,2023-12-28
551,315,223,3,2023-02-28
552,39,344,4,2024-01-08
553,263,411,5,2023-06-13
554,488,16,3,2024-09-14
555,348,401,4,2023-05-10
556,35,121,5,2024-01-11
557,186,197,5,2023-02-03
558,310,79,4,2024-01-15
559,191,228,5,2024-08-10
560,71,272,4,2023-11-18
561,333,143,3,2023-04-27
562,14,377,3,2024-06-14
563,199,468,4,2023-09-26
564,397,134,5,2023-08-08
565,314,147,5,2024-05-17
566,103,63,3,2023-03-17
567,232,89,5,2024-03-31
568,45,415,5,2023-11-24
569,342,178,5,2024-07-17
570,278,149,5,2023-06-11
571,365,364,5,2024-10-15
572,90,407,4,2023-08-18
573,63,103,5,2023-08-31
574,405,253,1,2024-07-21
575,294,189,4,2024-07-18
576,67,314,5,2023-03-09
577,159,204,5,2024-05-05
578,270,211,5,2024-08-11
579,38,65,5,2024-10-19
580,38,231,4,2024-06-13
581,177,66,5,2024-07-18
582,328,301,3,2023-05-13
583,222,258,5,2023-02-26
584,426,64,4,2023-11-08
585,85,83,3,2024-12-27
586,116,178,5,2024-06-15
587,459,146,5,2023-09-14
588,101,326,5,2023-10-09
589,65,321,3,2024-06-30
590,48,258,4,2024-08-29
591,483,298,3,2024-11-05
592,320,369,5,2023-12-12
593,432,474,4,2023-01-30
594,42,24,5,2024-08-13
595,136,334,3,2024-08-08
596,214,317,4,2024-05-24
597,456,322,4,2024-10-19
598,490,155,4,2024-12-02
599,208,153,4,2024-12-06
600,31,81,4,2024-05-10
